scenario_id,train_delay,maintenance_overrun,traffic_factor,asset_risk
SC0049,8.95,4.31,1.0,0.439
SC0050,4.9,8.86,1.031,0.322
SC0051,4.99,4.87,1.052,0.182
SC0052,2.91,7.12,1.249,0.355
SC0053,2.87,4.22,0.899,0.759
SC0054,12.02,3.63,1.103,0.399
SC0055,9.17,0.0,1.025,0.56
SC0056,4.05,0.0,0.811,0.427
SC0057,7.05,3.95,1.092,0.249
SC0058,7.94,5.23,1.152,0.179
SC0059,18.83,0.0,0.897,0.277
SC0060,2.66,4.86,0.999,0.193
SC0061,7.87,5.22,0.793,0.429
SC0062,11.98,0.0,0.849,0.031
SC0063,17.44,1.34,1.126,0.357
SC0064,3.88,6.63,0.944,0.23
SC0065,4.85,6.55,0.867,0.601
SC0066,10.51,0.39,1.028,0.286
SC0067,1.59,5.63,0.937,0.424
SC0068,8.42,9.09,0.944,0.39
SC0069,23.21,8.11,1.089,0.266
SC0070,9.04,4.62,0.861,0.285
SC0071,0.61,3.13,0.891,0.139
SC0072,3.29,2.48,1.018,0.127
SC0073,3.98,6.87,1.116,0.261
SC0074,13.83,5.78,1.149,0.242
SC0075,5.88,7.52,0.92,0.283
SC0076,1.22,5.53,1.112,0.272
SC0077,6.39,8.28,0.906,0.471
SC0078,7.36,5.38,1.219,0.298
SC0079,4.41,8.14,0.864,0.091
SC0080,2.82,8.48,1.159,0.203
SC0081,24.81,1.78,0.921,0.429
SC0082,12.0,0.0,1.242,0.283
SC0083,12.73,11.17,1.071,0.038
SC0084,5.89,6.03,0.878,0.259
SC0085,3.82,0.0,0.937,0.346
SC0086,4.58,2.14,1.094,0.391
SC0087,2.01,8.09,1.126,0.444
SC0088,18.6,3.88,0.992,0.356
SC0089,6.07,2.95,1.005,0.024
SC0090,15.94,10.6,1.091,0.422
SC0091,4.76,0.81,1.016,0.079
SC0092,9.13,1.81,0.845,0.092
SC0093,7.66,5.85,0.902,0.495
SC0094,1.8,6.56,1.028,0.406
SC0095,20.12,6.99,1.146,0.06
SC0096,4.88,8.64,1.194,0.196
SC0097,2.43,5.79,1.094,0.385
SC0098,10.57,6.96,1.034,0.325
SC0099,6.64,3.96,1.09,0.302
SC0100,8.57,5.25,0.92,0.158
SC0101,7.15,5.43,0.982,0.396
SC0102,0.7,5.86,0.901,0.41
SC0103,3.19,8.09,0.85,0.622
SC0104,3.08,7.22,1.04,0.118
SC0105,12.6,5.18,1.022,0.24
SC0106,6.83,1.76,1.083,0.326
SC0107,9.52,5.27,1.066,0.312
SC0108,5.11,4.89,1.029,0.338
SC0109,9.85,5.77,1.067,0.198
SC0110,5.9,13.83,0.995,0.265
SC0111,5.58,2.9,1.05,0.196
SC0112,7.62,6.69,0.913,0.64
SC0113,7.14,9.27,1.044,0.301
SC0114,29.95,5.39,1.08,0.143
SC0115,3.16,14.35,0.92,0.293
SC0116,1.61,3.49,1.006,0.113
SC0117,8.43,6.3,0.925,0.4
SC0118,3.57,1.8,0.937,0.327
SC0119,0.59,3.59,0.865,0.367
SC0120,2.55,6.0,1.152,0.139
SC0121,25.84,8.39,1.128,0.207
SC0122,3.09,6.28,1.064,0.244
SC0123,1.09,10.04,1.237,0.129
SC0124,24.81,4.62,0.977,0.244
SC0125,2.46,3.67,1.364,0.1
SC0126,35.73,15.82,0.973,0.311
SC0127,4.94,6.58,1.031,0.427
SC0128,20.17,2.12,0.952,0.041
SC0129,5.48,2.22,1.045,0.304
SC0130,9.17,1.23,1.1,0.098
SC0131,6.0,8.75,0.986,0.446
SC0132,5.51,3.54,1.213,0.065
SC0133,7.94,5.51,1.029,0.248
SC0134,9.41,4.75,1.032,0.416
SC0135,7.5,7.93,0.891,0.295
SC0136,6.94,1.61,1.05,0.205
SC0137,3.59,0.7,0.984,0.087
SC0138,6.18,5.9,0.927,0.248
SC0139,18.54,7.4,0.907,0.329
SC0140,3.45,6.33,1.321,0.78
SC0141,8.11,1.76,0.968,0.47
SC0142,14.9,7.71,0.825,0.223
SC0143,9.47,2.02,0.916,0.533
SC0144,12.69,2.91,0.994,0.222
SC0145,2.42,1.22,1.066,0.315
SC0146,8.12,10.2,1.067,0.564
SC0147,5.27,7.53,1.081,0.14
SC0148,5.45,7.42,0.923,0.193
SC0149,17.52,9.99,1.041,0.361
SC0150,5.52,16.25,0.895,0.536
SC0151,8.31,0.0,0.926,0.329
SC0152,1.09,2.05,0.89,0.511
SC0153,20.16,2.54,0.857,0.632
SC0154,12.2,1.6,1.128,0.633
SC0155,6.35,0.69,1.083,0.358
SC0156,5.08,3.8,1.117,0.352
SC0157,10.15,0.13,1.005,0.512
SC0158,14.78,6.34,1.093,0.121
SC0159,20.34,5.21,0.789,0.166
SC0160,11.92,6.92,1.104,0.224
SC0161,7.02,7.03,1.021,0.347
SC0162,13.19,7.41,1.075,0.171
SC0163,11.58,3.51,1.046,0.467
SC0164,7.04,13.48,0.882,0.245
SC0165,11.34,5.94,0.82,0.155
SC0166,11.2,0.0,0.915,0.118
SC0167,6.33,0.99,1.068,0.48
SC0168,4.33,0.0,1.083,0.205
SC0169,10.53,5.07,0.836,0.27
SC0170,2.68,4.51,0.882,0.074
SC0171,2.15,3.13,0.913,0.225
SC0172,8.41,13.04,0.957,0.105
SC0173,10.33,7.2,0.837,0.402
SC0174,8.37,7.9,0.829,0.192
SC0175,9.04,1.28,0.901,0.346
SC0176,10.21,1.0,1.01,0.038
SC0177,17.56,5.15,0.858,0.421
SC0178,12.06,5.69,0.986,0.233
SC0179,11.81,0.0,1.127,0.13
SC0180,7.94,4.28,0.844,0.698
SC0181,8.16,5.06,0.975,0.235
SC0182,5.93,4.14,1.123,0.192
SC0183,8.85,1.75,0.95,0.115
SC0184,2.56,2.84,0.931,0.277
SC0185,17.62,4.29,1.14,0.418
SC0186,3.26,5.36,0.963,0.264
SC0187,12.05,7.42,1.133,0.509
SC0188,16.15,9.32,1.051,0.343
SC0189,12.03,3.82,0.959,0.508
SC0190,27.36,3.18,1.058,0.12
SC0191,0.75,6.75,1.038,0.211
SC0192,4.57,7.44,1.123,0.245
SC0193,15.97,3.26,0.934,0.164
SC0194,2.07,8.16,1.005,0.294
SC0195,3.35,8.92,0.993,0.093
SC0196,9.76,10.17,1.084,0.415
SC0197,6.95,12.11,0.877,0.071
SC0198,9.33,1.53,1.122,0.794
SC0199,7.41,5.06,1.056,0.339
SC0200,7.92,5.05,0.842,0.442
SC0201,3.65,4.61,1.145,0.327
SC0202,7.74,2.4,1.268,0.099
SC0203,4.83,0.0,1.12,0.177
SC0204,5.39,5.37,1.171,0.245
SC0205,11.93,1.93,1.01,0.475
SC0206,1.96,5.34,0.801,0.116
SC0207,0.42,1.82,0.779,0.431
SC0208,11.33,0.6,1.031,0.625
SC0209,7.74,5.94,0.929,0.239
SC0210,16.14,5.6,0.89,0.023
SC0211,3.43,7.32,0.992,0.481
SC0212,6.17,13.74,1.074,0.189
SC0213,7.15,6.11,0.826,0.181
SC0214,4.04,6.94,0.946,0.586
SC0215,3.05,0.69,1.181,0.1
SC0216,11.74,0.0,0.871,0.051
SC0217,1.77,11.33,1.104,0.207
SC0218,2.61,1.31,0.942,0.712
SC0219,6.01,0.82,1.065,0.143
SC0220,12.7,4.84,1.132,0.351
SC0221,4.27,4.64,1.089,0.236
SC0222,3.83,1.39,1.109,0.308
SC0223,5.74,3.78,0.862,0.196
SC0224,8.72,9.92,1.134,0.167
SC0225,5.05,1.78,0.898,0.326
SC0226,13.84,0.0,1.031,0.135
SC0227,14.24,8.77,1.031,0.443
SC0228,6.01,6.97,1.058,0.135
SC0229,22.67,2.52,1.04,0.67
SC0230,7.03,0.0,0.899,0.341
SC0231,13.91,2.02,0.838,0.463
SC0232,8.54,4.78,1.105,0.3
SC0233,8.42,9.66,1.022,0.222
SC0234,1.37,0.85,1.138,0.188
SC0235,2.4,4.66,0.995,0.332
SC0236,5.26,7.7,0.831,0.238
SC0237,14.16,0.0,1.116,0.475
SC0238,8.63,9.14,0.956,0.444
SC0239,5.3,0.27,1.041,0.425
SC0240,10.4,6.33,0.922,0.433
SC0241,13.81,5.99,1.197,0.372
SC0242,6.7,9.34,0.895,0.23
SC0243,7.89,7.2,0.96,0.168
SC0244,7.15,0.0,1.013,0.188
SC0245,6.38,1.86,0.869,0.372
SC0246,3.4,5.55,1.04,0.116
SC0247,3.17,4.22,1.193,0.377
SC0248,10.36,6.91,0.941,0.091
SC0249,13.99,8.16,1.047,0.366
SC0250,5.3,7.43,0.7,0.295
SC0251,5.2,4.14,0.995,0.15
SC0252,0.98,0.0,0.962,0.092
SC0253,0.77,3.18,0.902,0.564
SC0254,16.48,6.67,1.13,0.304
SC0255,3.6,0.64,0.961,0.137
SC0256,28.6,7.53,0.979,0.56
SC0257,4.17,8.63,0.955,0.467
SC0258,1.42,5.51,0.77,0.394
SC0259,7.19,0.0,0.864,0.111
SC0260,11.64,0.0,1.115,0.161
SC0261,10.75,12.54,0.747,0.03
SC0262,12.46,2.81,0.908,0.126
SC0263,2.81,0.0,0.952,0.233
SC0264,16.22,9.94,1.209,0.294
SC0265,16.86,5.05,1.092,0.391
SC0266,17.36,9.42,0.933,0.147
SC0267,8.09,6.11,1.157,0.044
SC0268,4.97,6.83,0.911,0.1
SC0269,4.61,6.45,1.121,0.405
SC0270,1.41,7.79,0.837,0.515
SC0271,4.25,14.11,1.129,0.22
SC0272,0.37,8.88,0.951,0.241
SC0273,1.2,0.0,0.877,0.473
SC0274,8.03,6.79,0.974,0.246
SC0275,5.44,9.57,1.033,0.192
SC0276,7.77,9.81,0.941,0.418
SC0277,11.02,3.29,1.066,0.429
SC0278,8.86,9.66,0.93,0.234
SC0279,8.32,8.71,1.074,0.421
SC0280,6.23,15.29,1.053,0.153
SC0281,3.48,2.0,0.993,0.259
SC0282,2.08,2.97,0.947,0.31
SC0283,4.35,3.78,1.018,0.134
SC0284,6.31,3.04,1.066,0.159
SC0285,6.93,1.44,1.247,0.193
SC0286,12.48,0.0,1.113,0.371
SC0287,5.88,3.26,1.117,0.5
SC0288,9.92,6.48,1.371,0.5
SC0289,1.64,3.03,1.062,0.44
SC0290,8.11,12.74,1.058,0.178
SC0291,7.7,5.05,1.084,0.615
SC0292,16.22,10.16,0.879,0.03
SC0293,5.45,6.05,0.947,0.424
SC0294,5.26,8.31,0.939,0.355
SC0295,11.08,6.12,1.078,0.076
SC0296,2.25,10.48,0.979,0.223
SC0297,7.96,5.22,1.017,0.298
SC0298,2.14,6.98,1.13,0.1
SC0299,21.19,6.47,1.104,0.265
SC0300,4.71,3.85,0.981,0.118
SC0301,2.0,6.62,0.92,0.306
SC0302,4.32,13.94,1.136,0.329
SC0303,7.99,3.92,1.093,0.068
SC0304,9.7,6.68,0.807,0.261
SC0305,15.65,10.03,0.962,0.38
SC0306,3.89,9.56,1.02,0.034
SC0307,11.43,5.05,1.093,0.351
SC0308,1.2,0.0,1.109,0.392
SC0309,2.62,7.07,1.034,0.588
SC0310,1.69,0.0,1.07,0.333
SC0311,3.31,10.88,1.008,0.121
SC0312,11.07,5.68,0.919,0.307
SC0313,3.97,9.0,0.969,0.322
SC0314,4.64,1.39,1.002,0.431
SC0315,8.15,0.0,0.996,0.527
SC0316,9.41,6.04,0.774,0.295
SC0317,4.76,4.87,0.952,0.247
SC0318,2.61,3.03,1.007,0.292
SC0319,18.93,5.34,0.966,0.226
SC0320,4.79,16.07,0.97,0.326
SC0321,5.19,8.34,1.059,0.116
SC0322,5.73,9.2,0.871,0.417
SC0323,10.13,8.38,0.805,0.354
SC0324,1.54,10.92,0.958,0.305
SC0325,23.88,4.24,1.092,0.126
SC0326,5.07,0.0,1.203,0.107
SC0327,10.38,4.25,1.094,0.474
SC0328,2.02,8.25,0.824,0.589
SC0329,7.55,1.12,0.972,0.341
SC0330,21.49,4.29,1.031,0.639
SC0331,19.52,2.23,1.021,0.446
SC0332,10.18,11.01,1.065,0.139
SC0333,3.11,8.0,0.89,0.305
SC0334,15.09,7.61,1.008,0.219
SC0335,1.19,7.49,1.05,0.352
SC0336,3.01,4.85,1.099,0.28
SC0337,6.25,5.79,0.903,0.381
SC0338,1.32,0.26,0.959,0.404
SC0339,4.32,0.0,0.7,0.173
SC0340,11.6,5.6,0.925,0.267
SC0341,3.62,6.3,0.937,0.316
SC0342,11.98,9.84,0.878,0.372
SC0343,28.09,11.29,1.02,0.492
SC0344,8.88,11.28,0.993,0.125
SC0345,11.84,1.01,0.729,0.153
SC0346,15.44,3.59,1.026,0.146
SC0347,4.66,6.92,0.889,0.468
SC0348,11.64,15.13,1.058,0.377
SC0349,4.57,10.92,0.846,0.154
SC0350,8.42,9.48,1.004,0.275
SC0351,12.89,3.45,0.966,0.063
SC0352,3.24,1.47,1.036,0.084
SC0353,0.43,8.16,1.015,0.113
SC0354,2.97,0.6,0.969,0.445
SC0355,14.22,4.05,0.816,0.402
SC0356,2.63,4.54,0.823,0.162
SC0357,13.68,11.37,0.93,0.185
SC0358,2.98,3.58,0.999,0.114
SC0359,5.59,0.0,0.927,0.124
SC0360,6.6,7.02,1.075,0.171
SC0361,2.62,2.2,0.966,0.313
SC0362,5.64,5.17,0.884,0.267
SC0363,1.41,4.65,0.967,0.04
SC0364,5.01,3.91,1.027,0.129
SC0365,6.18,8.16,1.039,0.345
SC0366,0.46,0.0,1.225,0.304
SC0367,2.95,2.93,0.92,0.182
SC0368,8.24,7.74,0.991,0.348
SC0369,2.34,2.54,1.051,0.185
SC0370,9.26,0.0,0.997,0.404
SC0371,9.92,7.67,0.94,0.33
SC0372,8.21,9.49,0.814,0.203
SC0373,11.54,4.82,0.939,0.661
SC0374,1.31,0.0,0.871,0.243
SC0375,13.29,7.82,0.793,0.454
SC0376,2.66,0.0,0.905,0.431
SC0377,7.19,6.24,0.874,0.113
SC0378,20.92,1.45,1.07,0.177
SC0379,4.93,0.36,1.072,0.52
SC0380,6.73,3.23,0.892,0.198
SC0381,2.68,4.27,0.969,0.319
SC0382,20.79,2.42,0.777,0.161
SC0383,2.95,7.35,0.941,0.357
SC0384,10.55,3.22,1.048,0.164
SC0385,15.43,8.92,1.099,0.421
SC0386,11.26,6.12,0.914,0.336
SC0387,8.59,2.21,1.126,0.362
SC0388,7.11,1.54,0.818,0.479
SC0389,2.0,0.0,0.85,0.317
SC0390,20.17,6.16,1.085,0.218
SC0391,8.07,3.58,1.201,0.101
SC0392,6.73,0.0,1.059,0.421
SC0393,2.46,2.86,0.995,0.48
SC0394,6.98,1.4,0.737,0.599
SC0395,6.41,11.3,0.757,0.39
SC0396,20.92,0.0,1.016,0.125
SC0397,6.73,0.0,0.957,0.555
SC0398,6.9,9.44,0.867,0.196
SC0399,2.49,10.43,1.008,0.2
SC0400,3.51,2.02,1.014,0.353
SC0401,9.67,2.47,1.113,0.181
SC0402,1.04,7.46,1.016,0.369
SC0403,13.24,0.0,1.147,0.213
SC0404,13.49,0.0,1.001,0.486
SC0405,3.19,3.88,0.986,0.393
SC0406,8.61,11.2,1.128,0.12
SC0407,15.77,3.26,0.883,0.42
SC0408,6.01,5.4,1.338,0.24
SC0409,5.15,9.54,1.045,0.636
SC0410,5.68,13.43,1.046,0.225
SC0411,8.06,2.69,1.063,0.363
SC0412,3.92,4.93,1.225,0.265
SC0413,4.8,12.29,1.095,0.158
SC0414,8.18,0.0,0.807,0.254
SC0415,4.48,9.11,1.168,0.398
SC0416,2.29,0.93,0.959,0.232
SC0417,0.93,5.41,1.013,0.158
SC0418,6.83,4.03,0.846,0.383
SC0419,15.11,1.17,1.063,0.181
SC0420,8.93,1.07,0.922,0.397
SC0421,2.37,6.11,1.012,0.355
SC0422,3.49,8.98,0.966,0.302
SC0423,5.12,4.48,1.231,0.427
SC0424,21.37,5.28,1.238,0.562
SC0425,22.14,7.28,1.006,0.338
SC0426,20.44,1.11,1.008,0.196
SC0427,7.37,7.96,0.955,0.475
SC0428,40.24,8.28,1.133,0.399
SC0429,3.64,15.41,0.961,0.355
SC0430,4.97,3.5,0.949,0.075
SC0431,12.55,3.17,1.117,0.404
SC0432,8.21,8.08,0.935,0.252
SC0433,8.56,8.28,0.995,0.037
SC0434,2.77,2.86,0.81,0.017
SC0435,6.37,3.39,1.085,0.182
SC0436,3.69,7.16,1.233,0.039
SC0437,1.86,1.69,1.087,0.301
SC0438,4.08,3.36,1.175,0.071
SC0439,8.21,5.36,0.898,0.228
SC0440,11.15,8.98,1.028,0.202
SC0441,0.89,2.58,0.887,0.149
SC0442,6.6,0.0,0.973,0.203
SC0443,6.15,0.0,1.093,0.2
SC0444,7.9,0.0,1.012,0.452
SC0445,2.42,0.0,0.83,0.606
SC0446,2.46,4.38,0.842,0.494
SC0447,15.38,0.24,0.834,0.109
SC0448,3.22,2.19,1.059,0.43
SC0449,4.77,1.9,1.248,0.487
SC0450,5.18,3.24,1.163,0.056
SC0451,3.75,10.29,0.772,0.186
SC0452,9.46,7.65,1.171,0.405
SC0453,8.89,5.06,1.112,0.166
SC0454,5.93,3.16,0.815,0.477
SC0455,3.94,3.27,0.964,0.352
SC0456,5.57,6.31,1.131,0.372
SC0457,7.03,7.34,1.066,0.529
SC0458,3.49,1.37,0.843,0.456
SC0459,9.97,5.15,1.073,0.106
SC0460,13.18,0.0,0.743,0.172
SC0461,17.17,5.85,0.973,0.316
SC0462,16.48,8.05,1.137,0.162
SC0463,5.16,3.88,1.002,0.351
SC0464,7.3,12.27,0.94,0.35
SC0465,5.84,1.48,1.107,0.109
SC0466,5.83,5.87,1.117,0.317
SC0467,5.54,4.86,1.157,0.149
SC0468,6.7,4.6,1.105,0.197
SC0469,14.68,4.54,1.13,0.316
SC0470,8.4,5.43,1.088,0.441
SC0471,2.31,8.39,1.032,0.121
SC0472,12.8,10.51,1.011,0.441
SC0473,7.82,4.99,0.972,0.345
SC0474,9.54,8.26,0.855,0.317
SC0475,8.28,2.19,0.885,0.22
SC0476,8.56,8.06,0.966,0.324
SC0477,8.85,1.95,1.029,0.134
SC0478,1.14,9.36,1.173,0.214
SC0479,9.45,13.84,0.995,0.442
SC0480,3.62,4.51,1.12,0.338
SC0481,4.47,0.0,1.13,0.358
SC0482,6.66,2.81,0.972,0.77
SC0483,18.99,9.93,1.071,0.202
SC0484,2.71,7.21,0.971,0.37
SC0485,6.48,6.0,1.159,0.115
SC0486,5.43,9.03,1.076,0.539
SC0487,12.67,6.94,0.857,0.255
SC0488,5.31,9.87,1.019,0.291
SC0489,7.89,8.68,1.198,0.056
SC0490,2.72,11.09,0.978,0.254
SC0491,14.15,6.44,1.054,0.117
SC0492,1.7,8.62,1.066,0.638
SC0493,9.36,3.77,0.876,0.244
SC0494,7.92,2.59,1.061,0.149
SC0495,8.79,11.83,0.833,0.253
SC0496,1.73,5.86,0.925,0.171
SC0497,5.22,8.22,1.129,0.018
SC0498,12.25,5.49,1.043,0.268
SC0499,20.89,2.65,0.963,0.12
SC0500,6.12,5.04,1.054,0.273
SC0501,11.46,10.74,0.993,0.52
SC0502,7.36,7.22,1.002,0.425
SC0503,6.37,0.0,1.079,0.485
SC0504,4.75,4.14,0.913,0.314
SC0505,6.68,12.13,1.005,0.262
SC0506,10.76,4.14,0.963,0.088
SC0507,11.38,0.0,0.81,0.357
SC0508,2.11,12.57,0.89,0.515
SC0509,4.4,7.73,1.188,0.294
SC0510,2.6,4.72,1.046,0.728
SC0511,6.94,3.51,0.841,0.297
SC0512,5.07,9.33,0.815,0.478
SC0513,8.58,2.83,0.987,0.201
SC0514,9.01,9.59,1.187,0.203
SC0515,0.56,7.17,0.978,0.177
SC0516,6.64,5.98,1.157,0.163
SC0517,14.87,5.58,1.042,0.505
SC0518,4.4,4.3,1.057,0.086
SC0519,4.3,9.18,0.84,0.142
SC0520,13.17,1.54,1.113,0.656
SC0521,11.75,0.0,0.96,0.446
SC0522,2.85,7.46,1.104,0.228
SC0523,10.96,7.52,0.902,0.331
SC0524,3.45,6.92,1.021,0.247
SC0525,4.26,6.63,1.042,0.453
SC0526,2.85,3.72,0.982,0.163
SC0527,2.09,8.15,1.049,0.143
SC0528,7.25,4.82,0.968,0.211
SC0529,1.78,3.05,0.922,0.493
SC0530,7.47,3.75,1.193,0.097
SC0531,7.3,13.08,1.126,0.44
SC0532,5.9,0.0,0.909,0.265
SC0533,4.58,7.0,1.068,0.178
SC0534,3.86,0.0,0.911,0.507
SC0535,2.52,4.57,0.858,0.139
SC0536,17.26,3.27,1.124,0.447
SC0537,5.7,0.0,0.796,0.423
SC0538,5.55,6.56,1.111,0.275
SC0539,2.98,3.48,0.97,0.728
SC0540,16.06,0.0,0.975,0.11
SC0541,4.07,8.36,1.049,0.162
SC0542,8.01,10.74,1.07,0.373
SC0543,9.16,10.96,0.901,0.501
SC0544,7.25,6.44,1.086,0.61
SC0545,1.74,5.18,1.014,0.517
SC0546,10.64,10.31,0.849,0.392
SC0547,4.04,11.73,0.98,0.538
SC0548,11.67,9.53,1.166,0.074
SC0549,6.33,1.23,1.201,0.145
SC0550,9.56,5.81,1.086,0.092
SC0551,15.36,6.76,0.857,0.291
SC0552,10.37,0.0,1.059,0.368
SC0553,9.73,6.88,1.102,0.121
SC0554,10.98,14.09,1.087,0.38
SC0555,3.35,7.56,1.094,0.265
SC0556,12.01,10.89,1.044,0.264
SC0557,5.36,5.73,0.991,0.325
SC0558,5.5,4.71,0.927,0.274
SC0559,7.08,6.53,0.772,0.255
SC0560,4.97,1.74,1.041,0.08
SC0561,2.75,1.14,1.022,0.112
SC0562,6.68,10.07,1.067,0.075
SC0563,5.52,10.49,0.839,0.157
SC0564,5.37,1.04,1.077,0.432
SC0565,6.17,8.87,1.247,0.145
SC0566,0.64,4.65,1.009,0.212
SC0567,5.4,6.36,0.993,0.337
SC0568,16.65,6.84,1.037,0.27
SC0569,15.78,8.98,1.244,0.19
SC0570,6.86,5.33,0.877,0.353
SC0571,6.69,10.64,1.024,0.33
SC0572,0.43,6.24,0.904,0.442
SC0573,4.24,7.5,0.934,0.177
SC0574,10.9,1.67,0.994,0.192
SC0575,4.87,13.63,1.162,0.268
SC0576,13.53,6.88,1.216,0.162
SC0577,12.98,7.85,1.054,0.033
SC0578,4.17,0.0,0.955,0.342
SC0579,7.25,1.71,1.299,0.531
SC0580,17.53,9.95,0.949,0.244
SC0581,1.7,6.15,0.931,0.254
SC0582,4.96,0.0,0.787,0.173
SC0583,1.52,9.15,1.168,0.509
SC0584,3.14,2.82,1.116,0.056
SC0585,20.97,10.65,1.29,0.482
SC0586,4.96,4.65,0.833,0.478
SC0587,0.87,5.82,1.175,0.259
SC0588,2.73,9.72,1.008,0.171
SC0589,1.35,1.41,1.097,0.409
SC0590,7.46,1.03,0.802,0.399
SC0591,9.06,4.21,1.176,0.302
SC0592,12.13,8.31,1.094,0.069
SC0593,10.5,0.0,0.995,0.555
SC0594,1.79,0.0,1.077,0.228
SC0595,8.74,8.29,0.908,0.348
SC0596,5.96,2.59,0.93,0.05
SC0597,13.34,3.43,0.944,0.063
SC0598,11.34,0.0,0.778,0.085
SC0599,22.78,2.28,1.103,0.359
SC0600,2.94,4.97,1.143,0.491
SC0601,2.56,8.72,0.916,0.062
SC0602,4.46,1.92,1.042,0.286
SC0603,6.15,11.63,0.968,0.526
SC0604,3.76,2.26,1.039,0.039
SC0605,3.08,2.27,0.925,0.545
SC0606,8.32,11.15,0.894,0.185
SC0607,4.45,5.85,1.126,0.564
SC0608,3.62,2.79,0.992,0.207
SC0609,1.78,4.38,1.243,0.322
SC0610,0.49,10.41,1.006,0.247
SC0611,16.12,10.86,0.889,0.158
SC0612,15.8,1.73,1.147,0.148
SC0613,11.58,4.83,1.076,0.218
SC0614,9.75,5.36,1.087,0.32
SC0615,4.11,1.06,1.143,0.491
SC0616,10.04,4.78,0.922,0.22
SC0617,2.39,5.02,0.985,0.549
SC0618,7.12,9.56,0.979,0.508
SC0619,3.35,9.83,0.845,0.309
SC0620,10.07,3.68,0.968,0.261
SC0621,18.32,4.14,1.16,0.372
SC0622,2.72,7.66,1.028,0.106
SC0623,4.28,2.66,0.838,0.111
SC0624,7.02,7.35,0.813,0.22
SC0625,1.01,4.65,1.2,0.22
SC0626,1.42,1.12,0.989,0.346
SC0627,17.97,1.17,0.922,0.221
SC0628,8.35,10.79,0.967,0.583
SC0629,3.92,4.37,0.823,0.094
SC0630,6.47,11.56,1.171,0.319
SC0631,4.47,2.95,0.953,0.219
SC0632,7.18,6.16,1.164,0.49
SC0633,4.61,14.57,1.006,0.625
SC0634,6.09,0.77,1.172,0.119
SC0635,10.7,0.0,1.031,0.053
SC0636,10.23,10.15,1.102,0.202
SC0637,17.3,1.69,1.086,0.288
SC0638,8.78,4.92,1.075,0.134
SC0639,6.79,2.66,1.042,0.198
SC0640,19.02,6.07,0.972,0.227
SC0641,5.6,1.2,1.23,0.485
SC0642,0.57,4.28,0.891,0.095
SC0643,11.68,6.8,1.001,0.159
SC0644,8.05,0.97,1.002,0.174
SC0645,6.55,2.2,1.048,0.301
SC0646,11.89,3.61,0.948,0.469
SC0647,4.65,0.0,1.038,0.252
SC0648,0.61,3.31,0.98,0.193
SC0649,12.06,5.48,0.81,0.09
SC0650,3.8,3.4,1.001,0.292
SC0651,2.82,3.91,0.868,0.195
SC0652,0.66,4.92,0.792,0.146
SC0653,11.37,2.38,1.016,0.192
SC0654,0.31,7.76,1.059,0.15
SC0655,15.28,10.74,1.063,0.134
SC0656,5.03,3.14,1.068,0.164
SC0657,11.74,6.94,0.768,0.192
SC0658,8.98,4.04,0.837,0.166
SC0659,21.36,6.46,1.237,0.412
SC0660,8.8,11.26,0.874,0.242
SC0661,14.9,7.03,1.073,0.096
SC0662,4.17,0.0,0.918,0.125
SC0663,1.41,6.82,1.01,0.14
