id,section,department,duration,earliest_start,latest_end,priority,committed,defect_type,season,severity,urgency,overdue,weather_factor
M086,S09,Engineering,40,691,931,medium,False,Overhead Equipment,Monsoon,3,3,False,1.3
M087,S06,Signalling,30,735,975,medium,False,Electrical Inspection,Post-Monsoon,3,3,False,1.1
M088,S05,Traction,60,768,888,medium,False,Point Failure,Winter,3,3,False,0.9
M089,S09,Signalling,30,762,882,high,False,Point Failure,Monsoon,5,5,False,1.3
M090,S05,Traction,45,955,1075,medium,False,Point Failure,Winter,3,3,False,0.9
M091,S05,Engineering,40,681,831,medium,False,Rail Crack,Monsoon,3,3,False,1.3
M092,S03,Engineering,40,739,859,medium,False,Signal Fault,Monsoon,3,3,True,1.3
M093,S07,Signalling,25,641,821,medium,False,Overhead Equipment,Post-Monsoon,3,3,False,1.1
M094,S09,Engineering,60,734,974,medium,False,Point Failure,Post-Monsoon,3,3,False,1.1
M095,S02,Signalling,25,577,727,medium,False,Switch Maintenance,Summer,3,3,False,1.0
M096,S09,Signalling,20,951,1080,medium,False,Rail Crack,Post-Monsoon,3,3,False,1.1
M097,S04,Signalling,60,880,1030,high,True,Cable Inspection,Post-Monsoon,5,5,True,1.1
M098,S05,Signalling,40,605,785,medium,False,Switch Maintenance,Monsoon,3,3,False,1.3
M099,S07,Traction,30,853,1063,low,False,Point Failure,Post-Monsoon,2,2,True,1.1
M100,S02,Engineering,25,530,710,high,False,Track Geometry,Monsoon,5,5,False,1.3
